1552917259
= Start time (s)
'Reltime', '44.00[A]', '28.00[A]', '4.00[A]'
2.003280000000000030e+02 1.073801204204416493e-12 2.680862476456269405e-12 8.263530105415833882e-14
2.017500000000000000e+02 1.039221334854512069e-12 2.706409965927414341e-12 8.261659179041938583e-14
2.031560000000000059e+02 1.090181005365675748e-12 2.757303066425187410e-12 8.820471208894481441e-14
2.045620000000000118e+02 1.073801312624633741e-12 2.824642646517827593e-12 8.965600478824317654e-14
2.059689999999999941e+02 1.106561348628021246e-12 2.941123256397504271e-12 8.436119505869296709e-14
2.073899999999999864e+02 1.026481091966069403e-12 2.848302973687544259e-12 8.205233909854003915e-14
2.087969999999999970e+02 9.900810640089963144e-13 2.886523485512437759e-12 8.810540594620872024e-14
2.102030000000000030e+02 1.097460664012395171e-12 2.886522834991134268e-12 8.316871497049405093e-14
2.116090000000000089e+02 1.031940700425837409e-12 2.928855075134961794e-12 7.542772152311846834e-14
2.130149999999999864e+02 1.108381181974538165e-12 2.651742540826784733e-12 7.831873306352390984e-14
2.144370000000000118e+02 9.920634192611688107e-13 2.739103215076976738e-12 7.876520074188986253e-14
2.158439999999999941e+02 8.754208295769227988e-13 2.637182573012042397e-12 8.413613501647571047e-14
2.172500000000000000e+02 1.008281240617858732e-12 2.850999384490515709e-12 7.392767360737614868e-14
2.186560000000000059e+02 9.864410720553107303e-13 2.745338028090071880e-12 8.279320832431727450e-14
2.200780000000000030e+02 1.093821214159795829e-12 2.682682851903872567e-12 8.067544977332849476e-14
2.214840000000000089e+02 1.117481216068860750e-12 2.713622512459656910e-12 7.785979706017437385e-14
2.228899999999999864e+02 1.212121223705120432e-12 2.793702769121608753e-12 7.728376044593282534e-14
2.242969999999999970e+02 1.079261029504618996e-12 2.574796929485922981e-12 7.954733741285732740e-14
2.257030000000000030e+02 1.047476124935164954e-12 2.750022865677381745e-12 7.969508706391278952e-14
2.271250000000000000e+02 1.062881228343359741e-12 2.828754591677196117e-12 8.215152326853172871e-14
2.285310000000000059e+02 1.026481091966069403e-12 2.751842807444115913e-12 7.576351926472796317e-14
2.299370000000000118e+02 1.030121083919754987e-12 2.924743563656462264e-12 8.243390372435557834e-14
2.313439999999999941e+02 9.700609456333997294e-13 2.891982660291336771e-12 8.281798912022214632e-14
2.327500000000000000e+02 1.077441196158102077e-12 2.936270150633024656e-12 7.813510987308633360e-14
2.341719999999999970e+02 9.646013371736317232e-13 2.797343086335946083e-12 8.866367519734866254e-14
2.355780000000000030e+02 1.042861001547545907e-12 2.686322735437340903e-12 8.107117679002212585e-14
2.369840000000000089e+02 9.773407127003364003e-13 2.771863251080364243e-12 7.768900811295359476e-14
2.383899999999999864e+02 9.737011544275198105e-13 2.724543247262234402e-12 8.488040592656911909e-14
2.398120000000000118e+02 1.044681160154714572e-12 2.921439565956029938e-12 8.633634036641843479e-14
2.412189999999999941e+02 9.420133943727204695e-13 2.756460207656297179e-12 8.671621092633946537e-14
2.426399999999999864e+02 1.088588746055163536e-12 2.922922754527990108e-12 7.815223349114802653e-14
2.440469999999999970e+02 1.119301157835594918e-12 2.948402806624006445e-12 7.983261133322899772e-14
2.454530000000000030e+02 9.427610601908664734e-13 2.519186031654796487e-12 7.654495120428331245e-14
2.468590000000000089e+02 1.042861218387980404e-12 2.884365923189191605e-12 7.754962037115342710e-14
2.482810000000000059e+02 1.223041416406611681e-12 2.863974682409953232e-12 8.426540579675387277e-14
2.497030000000000030e+02 1.175721304168264592e-12 2.735463114703073906e-12 8.651329571349522518e-14
2.511090000000000089e+02 1.010100965544158402e-12 2.834315898300743264e-12 7.663605806808998500e-14
2.525149999999999864e+02 1.099281147880215581e-12 2.548002824356854212e-12 8.067477214697069132e-14
2.539370000000000118e+02 1.022841208432601068e-12 3.008463053330578951e-12 8.152949615338606071e-14
2.553439999999999941e+02 9.427610601908664734e-13 3.006643111563844784e-12 8.416601833885484218e-14
2.567500000000000000e+02 1.132041075463385837e-12 2.659022958415024895e-12 6.693582320360658144e-14
