ASCII SAMPLE CYCLES :			3.mdc
DATE :	2/22/2019	TIME :	2:52:35 PM
CONVERTED CYCLES :			184
Number of stored cycles			184
Printed start cycle			1
Printed end cycle			184
Number of stored datablocks			1
Datablock 0	Ion Current	[A]	
'0/0'	40.00	min:	2.4506E-010	max:	2.52616E-010	
'0/1'	44.00	min:	6.1708E-012	max:	7.24187E-012	
'0/2'	28.00	min:	7.35579E-012	max:	7.6642E-012	
'0/3'	32.00	min:	4.26812E-010	max:	4.36926E-010	
Cycle	Date	Time	RelTime[s]	'0/0'	'0/1'	'0/2'	'0/3'	
110	2/22/2019	3:12:27:96 PM	1192.97	2.46914E-010	6.81515E-012	7.51084E-012	4.29324E-010	
111	2/22/2019	3:12:30:42 PM	1195.42	2.47702E-010	6.66222E-012	7.45885E-012	4.31164E-010	
112	2/22/2019	3:12:32:87 PM	1197.87	2.49535E-010	6.6155E-012	7.50344E-012	4.29449E-010	
113	2/22/2019	3:20:54:29 PM	1699.3	2.45801E-010	6.80347E-012	7.48857E-012	4.27135E-010	
114	2/22/2019	3:20:56:75 PM	1701.75	2.47099E-010	6.66148E-012	7.48309E-012	4.28791E-010	
115	2/22/2019	3:20:59:20 PM	1704.2	2.49694E-010	6.74193E-012	7.52633E-012	4.2767E-010	
116	2/22/2019	3:21:01:65 PM	1706.66	2.48211E-010	6.63942E-012	7.51118E-012	4.27822E-010	
117	2/22/2019	3:21:04:10 PM	1709.11	2.47099E-010	6.56601E-012	7.42663E-012	4.27052E-010	
118	2/22/2019	3:21:06:56 PM	1711.56	2.47338E-010	6.58696E-012	7.46197E-012	4.28183E-010	
119	2/22/2019	3:21:09:00 PM	1714	2.46172E-010	6.56416E-012	7.50957E-012	4.28528E-010	
120	2/22/2019	3:21:11:45 PM	1716.45	2.46728E-010	6.54247E-012	7.49492E-012	4.27611E-010	
121	2/22/2019	3:21:13:90 PM	1718.91	2.45154E-010	6.7004E-012	7.46166E-012	4.28754E-010	
122	2/22/2019	3:21:16:35 PM	1721.36	2.46172E-010	6.66574E-012	7.5127E-012	4.28033E-010	
123	2/22/2019	3:21:18:79 PM	1723.8	2.47792E-010	6.81645E-012	7.51886E-012	4.28404E-010	
124	2/22/2019	3:21:21:26 PM	1726.26	2.47099E-010	6.74044E-012	7.50533E-012	4.28192E-010	
125	2/22/2019	3:21:23:71 PM	1728.72	2.46172E-010	6.93101E-012	7.52798E-012	4.29263E-010	
126	2/22/2019	3:21:26:15 PM	1731.16	2.51177E-010	6.59585E-012	7.53572E-012	4.2981E-010	
127	2/22/2019	3:29:52:43 PM	2237.44	2.48953E-010	6.70504E-012	7.58557E-012	4.34721E-010	
128	2/22/2019	3:29:54:89 PM	2239.89	2.50429E-010	6.3697E-012	7.57125E-012	4.36238E-010	
129	2/22/2019	3:29:57:34 PM	2242.34	2.49905E-010	6.75527E-012	7.56449E-012	4.35553E-010	
130	2/22/2019	3:29:59:79 PM	2244.8	2.5025E-010	6.95399E-012	7.59183E-012	4.36175E-010	
131	2/22/2019	3:30:02:25 PM	2247.25	2.4882E-010	6.80347E-012	7.57149E-012	4.35666E-010	
