ASCII SAMPLE CYCLES :			ar_o2_co2_co_disc.mdc
DATE :	2/25/2019	TIME :	10:43:51 AM
CONVERTED CYCLES :			3372
Number of stored cycles			3372
Printed start cycle			1
Printed end cycle			3372
Number of stored datablocks			1
Datablock 0	Ion Current	[A]	
'0/0'	40.00	min:	3.09977E-010	max:	3.14889E-010	
'0/1'	44.00	min:	5.34979E-012	max:	5.72313E-012	
'0/2'	28.00	min:	7.61571E-012	max:	7.76286E-012	
'0/3'	32.00	min:	4.99929E-010	max:	5.04661E-010	
Cycle	Date	Time	RelTime[s]	'0/0'	'0/1'	'0/2'	'0/3'	
107	2/25/2019	11:19:55:26 AM	2164.27	2.72606E-010	6.08368E-012	7.25255E-012	4.49594E-010	
108	2/25/2019	11:19:57:71 AM	2166.72	2.72513E-010	6.0377E-012	7.19614E-012	4.50126E-010	
109	2/25/2019	11:26:34:50 AM	2563.5	2.66062E-010	6.29222E-012	7.18432E-012	4.38745E-010	
110	2/25/2019	11:26:36:96 AM	2565.97	2.66581E-010	6.24884E-012	7.19053E-012	4.39791E-010	
111	2/25/2019	11:26:39:40 AM	2568.41	2.666E-010	5.69199E-012	7.23953E-012	4.39767E-010	
112	2/25/2019	11:26:41:86 AM	2570.86	2.66637E-010	6.00211E-012	7.17076E-012	4.39931E-010	
113	2/25/2019	11:26:44:31 AM	2573.31	2.67712E-010	5.849E-012	7.2098E-012	4.40805E-010	
114	2/25/2019	11:26:46:76 AM	2575.77	2.65543E-010	5.8312E-012	7.20927E-012	4.4051E-010	
115	2/25/2019	11:26:49:20 AM	2578.2	2.67304E-010	6.13243E-012	7.18186E-012	4.39736E-010	
116	2/25/2019	11:26:51:65 AM	2580.66	2.6597E-010	6.19156E-012	7.19504E-012	4.39933E-010	
117	2/25/2019	11:26:54:11 AM	2583.11	2.67156E-010	5.82193E-012	7.18977E-012	4.4109E-010	
118	2/25/2019	11:26:56:56 AM	2585.56	2.67972E-010	6.25718E-012	7.20556E-012	4.39868E-010	
119	2/25/2019	11:26:59:01 AM	2588.02	2.67063E-010	5.95114E-012	7.22059E-012	4.39679E-010	
120	2/25/2019	11:27:01:46 AM	2590.47	2.67304E-010	6.14985E-012	7.16383E-012	4.40268E-010	
121	2/25/2019	11:27:03:92 AM	2592.92	2.65988E-010	6.04438E-012	7.15677E-012	4.4006E-010	
122	2/25/2019	11:27:06:37 AM	2595.37	2.65988E-010	5.95318E-012	7.1663E-012	4.39521E-010	
123	2/25/2019	11:31:47:42 AM	2876.42	2.65488E-010	5.83991E-012	7.23797E-012	4.39632E-010	
124	2/25/2019	11:31:49:89 AM	2878.89	2.64394E-010	6.09091E-012	7.27516E-012	4.41023E-010	
125	2/25/2019	11:31:52:34 AM	2881.34	2.66544E-010	5.85752E-012	7.2518E-012	4.41203E-010	
126	2/25/2019	11:31:54:78 AM	2883.78	2.66378E-010	6.24532E-012	7.24714E-012	4.41241E-010	
127	2/25/2019	11:31:57:23 AM	2886.23	2.66822E-010	6.10055E-012	7.31312E-012	4.42018E-010	
128	2/25/2019	11:31:59:68 AM	2888.69	2.66118E-010	5.89682E-012	7.31439E-012	4.41935E-010	
129	2/25/2019	11:32:02:14 AM	2891.14	2.66663E-010	5.94261E-012	7.24745E-012	4.41943E-010	
130	2/25/2019	11:32:04:57 AM	2893.58	2.67953E-010	6.02584E-012	7.28033E-012	4.43481E-010	
131	2/25/2019	11:32:07:03 AM	2896.03	2.67156E-010	5.83917E-012	7.32764E-012	4.42408E-010	
132	2/25/2019	11:32:09:48 AM	2898.48	2.65719E-010	6.39436E-012	7.18303E-012	4.43122E-010	
133	2/25/2019	11:32:11:93 AM	2900.94	2.67416E-010	6.25533E-012	7.28956E-012	4.41803E-010	
134	2/25/2019	11:32:14:37 AM	2903.37	2.66077E-010	5.96022E-012	7.24066E-012	4.42673E-010	
135	2/25/2019	11:32:16:82 AM	2905.83	2.67378E-010	5.95095E-012	7.30029E-012	4.42081E-010	
136	2/25/2019	11:37:06:25 AM	3195.25	2.63486E-010	5.98228E-012	7.22618E-012	4.36632E-010	
137	2/25/2019	11:37:08:71 AM	3197.72	2.63339E-010	5.87977E-012	7.25509E-012	4.37564E-010	
138	2/25/2019	11:37:11:15 AM	3200.16	2.6343E-010	6.24476E-012	7.2636E-012	4.38557E-010	
139	2/25/2019	11:37:13:61 AM	3202.61	2.64654E-010	5.7882E-012	7.28567E-012	4.38902E-010	
140	2/25/2019	11:37:16:06 AM	3205.06	2.62923E-010	5.92074E-012	7.28245E-012	4.39166E-010	
141	2/25/2019	11:37:18:51 AM	3207.52	2.64691E-010	6.46035E-012	7.23342E-012	4.38627E-010	
142	2/25/2019	11:37:20:95 AM	3209.95	2.65173E-010	6.6776E-012	7.28445E-012	4.39409E-010	
143	2/25/2019	11:37:23:40 AM	3212.41	2.63615E-010	5.98524E-012	7.27142E-012	4.39337E-010	
144	2/25/2019	11:37:25:86 AM	3214.86	2.65154E-010	6.28221E-012	7.25384E-012	4.39719E-010	
145	2/25/2019	11:37:28:31 AM	3217.31	2.65303E-010	5.80859E-012	7.27798E-012	4.38937E-010	
146	2/25/2019	11:37:30:75 AM	3219.75	2.64453E-010	6.34783E-012	7.24525E-012	4.3937E-010	
147	2/25/2019	11:37:33:21 AM	3222.22	2.64431E-010	5.99618E-012	7.32257E-012	4.39273E-010	
148	2/25/2019	11:42:28:01 AM	3517.02	2.62225E-010	6.3495E-012	7.26766E-012	4.353E-010	
149	2/25/2019	11:42:30:46 AM	3519.47	2.60779E-010	6.04716E-012	7.31553E-012	4.36362E-010	
150	2/25/2019	11:42:32:92 AM	3521.92	2.6204E-010	6.48482E-012	7.28429E-012	4.3681E-010	
151	2/25/2019	11:42:35:37 AM	3524.37	2.61057E-010	5.86902E-012	7.32806E-012	4.36637E-010	
152	2/25/2019	11:42:37:82 AM	3526.83	2.62744E-010	5.89701E-012	7.32914E-012	4.36142E-010	
