ASCII SAMPLE CYCLES :			4_continuous.mdc
DATE :	2/22/2019	TIME :	3:55:12 PM
CONVERTED CYCLES :			1759
Number of stored cycles			1765
Printed start cycle			7
Printed end cycle			1765
Number of stored datablocks			1
Datablock 0	Ion Current	[A]	
'0/0'	40.00	min:	2.50806E-010	max:	2.59445E-010	
'0/1'	44.00	min:	6.442E-012	max:	7.32974E-012	
'0/2'	28.00	min:	7.37784E-012	max:	7.63401E-012	
'0/3'	32.00	min:	4.30172E-010	max:	4.40564E-010	
Cycle	Date	Time	RelTime[s]	'0/0'	'0/1'	'0/2'	'0/3'	
172	2/22/2019	4:02:19:53 PM	427.531	2.5342E-010	6.74712E-012	7.40154E-012	4.32552E-010	
173	2/22/2019	4:02:21:98 PM	429.984	2.5292E-010	6.71449E-012	7.47062E-012	4.32808E-010	
174	2/22/2019	4:02:24:43 PM	432.438	2.52882E-010	6.76714E-012	7.48788E-012	4.34073E-010	
175	2/22/2019	4:02:26:87 PM	434.875	2.54495E-010	6.70522E-012	7.45604E-012	4.32312E-010	
176	2/22/2019	4:02:29:32 PM	437.328	2.53828E-010	6.67834E-012	7.44896E-012	4.32551E-010	
177	2/22/2019	4:02:31:78 PM	439.781	2.55441E-010	6.82942E-012	7.45511E-012	4.32634E-010	
178	2/22/2019	4:02:34:23 PM	442.234	2.53216E-010	6.88374E-012	7.46811E-012	4.34024E-010	
179	2/22/2019	4:02:36:68 PM	444.688	2.53494E-010	6.71579E-012	7.49942E-012	4.33144E-010	
180	2/22/2019	4:02:39:14 PM	447.141	2.55014E-010	6.88856E-012	7.45148E-012	4.34714E-010	
181	2/22/2019	4:02:41:59 PM	449.594	2.56349E-010	6.93453E-012	7.48363E-012	4.3382E-010	
182	2/22/2019	4:02:44:04 PM	452.047	2.55329E-010	6.94899E-012	7.47462E-012	4.33342E-010	
183	2/22/2019	4:02:46:48 PM	454.484	2.53642E-010	7.12657E-012	7.43301E-012	4.33422E-010	
184	2/22/2019	4:02:48:93 PM	456.938	2.56784E-010	6.98958E-012	7.50206E-012	4.33782E-010	
185	2/22/2019	4:02:51:39 PM	459.391	2.56293E-010	7.0856E-012	7.51714E-012	4.3454E-010	
186	2/22/2019	4:02:53:84 PM	461.844	2.55645E-010	6.98995E-012	7.52973E-012	4.33944E-010	
187	2/22/2019	4:02:56:28 PM	464.281	2.54959E-010	6.67334E-012	7.48665E-012	4.333E-010	
188	2/22/2019	4:02:58:73 PM	466.734	2.54996E-010	6.58418E-012	7.46828E-012	4.33475E-010	
189	2/22/2019	4:03:01:18 PM	469.188	2.54959E-010	6.89189E-012	7.48293E-012	4.3351E-010	
190	2/22/2019	4:03:03:64 PM	471.641	2.53624E-010	6.67482E-012	7.47015E-012	4.32729E-010	
191	2/22/2019	4:03:06:07 PM	474.078	2.55459E-010	6.63145E-012	7.49959E-012	4.33511E-010	
192	2/22/2019	4:03:08:53 PM	476.531	2.54403E-010	6.86446E-012	7.45071E-012	4.32821E-010	
193	2/22/2019	4:03:10:98 PM	478.984	2.54884E-010	7.08171E-012	7.48437E-012	4.3351E-010	
194	2/22/2019	4:03:13:43 PM	481.438	2.55125E-010	6.8259E-012	7.42314E-012	4.33667E-010	
195	2/22/2019	4:03:15:89 PM	483.891	2.54736E-010	6.62014E-012	7.5095E-012	4.34605E-010	
196	2/22/2019	4:03:18:32 PM	486.328	2.56497E-010	6.84981E-012	7.53062E-012	4.34806E-010	
197	2/22/2019	4:03:20:78 PM	488.781	2.55886E-010	6.83535E-012	7.53397E-012	4.3541E-010	
198	2/22/2019	4:03:23:23 PM	491.234	2.53272E-010	6.74341E-012	7.52165E-012	4.34732E-010	
199	2/22/2019	4:03:25:68 PM	493.688	2.56701E-010	6.87799E-012	7.50302E-012	4.35538E-010	
200	2/22/2019	4:03:28:12 PM	496.125	2.55255E-010	6.95955E-012	7.52671E-012	4.35096E-010	
201	2/22/2019	4:03:30:57 PM	498.578	2.54736E-010	7.03871E-012	7.52062E-012	4.36032E-010	
202	2/22/2019	4:03:33:03 PM	501.031	2.55886E-010	6.99366E-012	7.52421E-012	4.3502E-010	
203	2/22/2019	4:03:35:48 PM	503.484	2.552E-010	6.64387E-012	7.49495E-012	4.34051E-010	
204	2/22/2019	4:03:37:93 PM	505.938	2.55552E-010	6.61921E-012	7.48375E-012	4.35689E-010	
205	2/22/2019	4:03:40:39 PM	508.391	2.54273E-010	6.78808E-012	7.48606E-012	4.35747E-010	
206	2/22/2019	4:03:42:84 PM	510.844	2.54551E-010	6.93916E-012	7.50144E-012	4.35057E-010	
207	2/22/2019	4:03:45:28 PM	513.281	2.54718E-010	6.97364E-012	7.50869E-012	4.34693E-010	
208	2/22/2019	4:03:47:75 PM	515.75	2.53828E-010	6.67371E-012	7.4999E-012	4.33951E-010	
209	2/22/2019	4:03:50:20 PM	518.203	2.55014E-010	6.60068E-012	7.5126E-012	4.33893E-010	
210	2/22/2019	4:03:52:64 PM	520.641	2.54291E-010	6.93416E-012	7.50343E-012	4.34036E-010	
211	2/22/2019	4:03:55:09 PM	523.094	2.55385E-010	6.88522E-012	7.5309E-012	4.3326E-010	
212	2/22/2019	4:03:57:54 PM	525.547	2.53105E-010	6.5586E-012	7.50664E-012	4.3298E-010	
213	2/22/2019	4:04:00:00 PM	528	2.55107E-010	6.87836E-012	7.39588E-012	4.32651E-010	
214	2/22/2019	4:04:02:43 PM	530.438	2.53865E-010	6.91099E-012	7.52812E-012	4.33409E-010	
215	2/22/2019	4:04:04:89 PM	532.891	2.5418E-010	6.92656E-012	7.48613E-012	4.34002E-010	
216	2/22/2019	4:04:07:34 PM	535.344	2.54588E-010	7.04334E-012	7.51855E-012	4.329E-010	
217	2/22/2019	4:04:09:79 PM	537.797	2.52401E-010	6.94305E-012	7.50496E-012	4.32486E-010	
218	2/22/2019	4:04:12:25 PM	540.25	2.53846E-010	7.15401E-012	7.49107E-012	4.33162E-010	
219	2/22/2019	4:04:14:68 PM	542.688	2.53272E-010	6.90227E-012	7.50945E-012	4.33527E-010	
220	2/22/2019	4:04:17:14 PM	545.141	2.52827E-010	6.47944E-012	7.51447E-012	4.33405E-010	
221	2/22/2019	4:04:19:59 PM	547.594	2.53587E-010	6.82182E-012	7.47303E-012	4.3229E-010	
222	2/22/2019	4:04:22:04 PM	550.047	2.53605E-010	6.70689E-012	7.38962E-012	4.3273E-010	
223	2/22/2019	4:04:24:48 PM	552.484	2.52604E-010	6.87614E-012	7.50258E-012	4.33942E-010	
224	2/22/2019	4:04:26:95 PM	554.953	2.54069E-010	6.8563E-012	7.53992E-012	4.32935E-010	
225	2/22/2019	4:04:29:40 PM	557.406	2.54403E-010	7.05947E-012	7.53869E-012	4.34931E-010	
226	2/22/2019	4:04:31:84 PM	559.844	2.53124E-010	7.01776E-012	7.44573E-012	4.3394E-010	
227	2/22/2019	4:04:34:29 PM	562.297	2.55385E-010	6.82015E-012	7.50851E-012	4.34809E-010	
228	2/22/2019	4:04:36:76 PM	564.766	2.53587E-010	6.72524E-012	7.51588E-012	4.33385E-010	
229	2/22/2019	4:04:39:20 PM	567.203	2.55404E-010	6.7397E-012	7.47955E-012	4.33459E-010	
230	2/22/2019	4:04:41:65 PM	569.656	2.52271E-010	7.01813E-012	7.49931E-012	4.33673E-010	
