Start time (s) =
1552988426
'Reltime', '44.00[A]', '28.00[A]', '4.00[A]'
1.679689999999999941e+02 2.537723330087171547e-11 1.552849168695580317e-11 1.404337041620296045e-12
1.693750000000000000e+02 2.623364199483280146e-11 1.532273266602324213e-11 1.392010747121308345e-12
1.707969999999999970e+02 2.626886208556555857e-11 1.529492678342680989e-11 1.418504094567729634e-12
1.722030000000000030e+02 2.580543591312878249e-11 1.534868586394733114e-11 1.432730670214432678e-12
1.736100000000000136e+02 2.532532517030006147e-11 1.556927850532296986e-11 1.390005189942644659e-12
1.750159999999999911e+02 2.591294886999939706e-11 1.569532698253439662e-11 1.436837736464025017e-12
1.764379999999999882e+02 2.537908598554405870e-11 1.530975173025250768e-11 1.423673462105923271e-12
1.778439999999999941e+02 2.594631627605981095e-11 1.582878966788214825e-11 1.433918522114607796e-12
1.792500000000000000e+02 2.600563688004431384e-11 1.555259220020754896e-11 1.438369063612443544e-12
1.806719999999999970e+02 2.608349126964615294e-11 1.548585738808672119e-11 1.419469359761893479e-12
1.820780000000000030e+02 2.585494665585663654e-11 1.522819370602945810e-11 1.442382129533681390e-12
1.834850000000000136e+02 2.591295407416982499e-11 1.556371524713551224e-11 1.435848618822066491e-12
1.848909999999999911e+02 2.637637677715964912e-11 1.583806176486124428e-11 1.448093814998552276e-12
1.863129999999999882e+02 2.671560542233386570e-11 1.567493183862733730e-11 1.408071142322553371e-12
1.877189999999999941e+02 2.640604228332232850e-11 1.577503058736162700e-11 1.456635593394262074e-12
1.891409999999999911e+02 2.575353125200408044e-11 1.576849414930414639e-11 1.428561479180356919e-12
1.905469999999999970e+02 2.637823293127894431e-11 1.531531325371648933e-11 1.439401440921084241e-12
1.919689999999999941e+02 2.581841337945256498e-11 1.583250371084421459e-11 1.455469317117319417e-12
1.933750000000000000e+02 2.618359175310391862e-11 1.565083826426949543e-11 1.436330871948388044e-12
1.947820000000000107e+02 2.639491576694741326e-11 1.554517625734774811e-11 1.427113744019437025e-12
1.961879999999999882e+02 2.607607879623330405e-11 1.563230100920520727e-11 1.431691570852322570e-12
1.976100000000000136e+02 2.635783952209536096e-11 1.583806003013776831e-11 1.449821491160407927e-12
1.990159999999999911e+02 2.627998686721699784e-11 1.579357478131981907e-11 1.459348050389386309e-12
2.004379999999999882e+02 2.679531770077847597e-11 1.562835798274431198e-11 1.410619234268328803e-12
2.018439999999999941e+02 2.629481181404269563e-11 1.603640831238095643e-11 1.446837658361510570e-12
2.032500000000000000e+02 2.704000218178848058e-11 1.572498381507969611e-11 1.456141522464260429e-12
2.046570000000000107e+02 2.620954321630453165e-11 1.583947382977068941e-11 1.458450873091654554e-12
2.060780000000000030e+02 2.642271991482036952e-11 1.563786253266918891e-11 1.446452549749843719e-12
2.074850000000000136e+02 2.666184460708986848e-11 1.564342405613317055e-11 1.436331847730343281e-12
2.089070000000000107e+02 2.712898308776523493e-11 1.576761637922530213e-11 1.452899541128094274e-12
2.103439999999999941e+02 2.698995367478307372e-11 1.582508256381398581e-11 1.438917669911721209e-12
2.117659999999999911e+02 2.697697967790624318e-11 1.615504605090301027e-11 1.428734084166216611e-12
2.131719999999999970e+02 2.664701966026417068e-11 1.594001666771482917e-11 1.434289861358684082e-12
2.145780000000000030e+02 2.676380297939040531e-11 1.555629930427571139e-11 1.469009592788839136e-12
2.159850000000000136e+02 2.713454287650574059e-11 1.618709853656863373e-11 1.433039234152722052e-12
2.173909999999999911e+02 2.673043557332999143e-11 1.622919160171321096e-11 1.452503807335137065e-12
2.188129999999999882e+02 2.652281866355465922e-11 1.608831123878218250e-11 1.449223878922933917e-12
2.202189999999999941e+02 2.691394850040662590e-11 1.595669776865982215e-11 1.464785866385487356e-12
2.216250000000000000e+02 2.660623804606743192e-11 1.604938230925778697e-11 1.463280451668991233e-12
2.230320000000000107e+02 2.715493455096584796e-11 1.646646881348079461e-11 1.447380518389274062e-12
2.244530000000000030e+02 2.653023634113793605e-11 1.553590762981560403e-11 1.442691777674143250e-12
2.258600000000000136e+02 2.687873187912082074e-11 1.567122646928265084e-11 1.434302004423015919e-12
2.272820000000000107e+02 2.726430366195575772e-11 1.574351933542050830e-11 1.447541197151236414e-12
2.286879999999999882e+02 2.681570417106815540e-11 1.636080854128252327e-11 1.446788001902010734e-12
2.301100000000000136e+02 2.702702645018817407e-11 1.588996642598594633e-11 1.442194996238710392e-12
2.315159999999999911e+02 2.725874387321525205e-11 1.609758160103780256e-11 1.443200702173907946e-12
2.329219999999999970e+02 2.669150837852907188e-11 1.586216227811299007e-11 1.444271243399020133e-12
2.343280000000000030e+02 2.706781153383186478e-11 1.601231126857616260e-11 1.409753498833599128e-12
2.357500000000000000e+02 2.781485285152651699e-11 1.605865267151340703e-11 1.441726404059762157e-12
2.371570000000000107e+02 2.689912702302788006e-11 1.612909285297892126e-11 1.468267347981555559e-12
2.385629999999999882e+02 2.708820320829197215e-11 1.631817250768996530e-11 1.465947697433522823e-12
2.399689999999999941e+02 2.743669874627485683e-11 1.660920359580764227e-11 1.467916066477670256e-12
2.413750000000000000e+02 2.719571616516258672e-11 1.632373403115394694e-11 1.468241869230502150e-12
