Start time (s) =
1553508139
'Reltime', 'DEFAU[mV]', '2.00[A]', '28.00[A]', '18.00[A]'
9.703100000000000591e+01 2.271718750000000000e+03 1.017888984905512828e-11 2.122490551370592726e-11 2.114275421405409361e-11
9.792199999999999704e+01 2.272500000000000000e+03 1.009291868830919370e-11 2.098478162071426567e-11 2.127682578734191310e-11
9.879699999999999704e+01 2.274062500000000000e+03 1.003334741678241215e-11 2.095900016041429836e-11 2.075594383865730919e-11
9.968699999999999761e+01 2.274687500000000000e+03 1.015125657144455573e-11 2.084968482585214389e-11 2.094687617804069646e-11
1.005619999999999976e+02 2.274687500000000000e+03 9.807357183311271598e-12 2.103391766317130873e-11 2.044945983381563082e-11
1.014369999999999976e+02 2.274843750000000000e+03 1.002720476095397828e-11 2.083750880177426268e-11 2.087976840037253368e-11
1.023280000000000030e+02 2.275000000000000000e+03 9.853414091598455826e-12 2.048653260922073116e-11 2.046306353531424094e-11
1.032030000000000030e+02 2.273750000000000000e+03 1.039935585561702069e-11 2.086319658700652724e-11 2.081590975977487545e-11
1.040930000000000035e+02 2.274218750000000000e+03 9.867536475416383013e-12 2.047814348649090732e-11 2.075284562252921461e-11
1.049839999999999947e+02 2.272500000000000000e+03 9.659350576340930417e-12 2.068550539191527093e-11 2.079196016746553966e-11
1.058589999999999947e+02 2.272812500000000000e+03 9.891487802449194788e-12 2.054461982481381455e-11 2.034874352352389337e-11
1.067339999999999947e+02 2.270000000000000000e+03 1.008063597873753992e-11 2.091600850850916515e-11 2.055429437763933720e-11
1.076250000000000000e+02 2.270781250000000000e+03 9.835602818308863959e-12 2.059035060508751513e-11 2.028838902434770830e-11
1.085000000000000000e+02 2.270156250000000000e+03 9.615751771219205324e-12 2.057428359625301795e-11 2.089744349786926136e-11
1.093750000000000000e+02 2.266718750000000000e+03 9.727517402691177040e-12 2.102534986392345928e-11 2.057701578572768142e-11
1.102650000000000006e+02 2.253593750000000000e+03 9.862624605894154683e-12 2.084986003292321755e-11 2.091535278303524592e-11
1.111400000000000006e+02 2.265000000000000000e+03 9.608995023280275660e-12 2.048490196915331296e-11 2.092030715328263568e-11
1.120150000000000006e+02 2.264843750000000000e+03 9.610225809586481205e-12 2.023134264284021100e-11 2.061506174100280475e-11
1.129060000000000059e+02 2.264375000000000000e+03 9.575837518760454969e-12 2.057517697884314600e-11 2.047046733510970995e-11
1.137810000000000059e+02 2.261093750000000000e+03 9.504596762410777444e-12 2.050026121080961161e-11 2.077660266053271698e-11
1.146719999999999970e+02 2.260312500000000000e+03 9.783404988916721834e-12 2.028139461929256981e-11 2.083812115916128249e-11
1.155469999999999970e+02 2.262343750000000000e+03 9.476964352161942884e-12 2.053287748160492754e-11 2.091783517232936873e-11
1.164219999999999970e+02 2.260000000000000000e+03 9.270620729417977657e-12 2.046402283739645611e-11 2.032339400936944429e-11
1.173119999999999976e+02 2.259687500000000000e+03 9.093142037952528511e-12 2.036515574233010994e-11 2.080537478410526830e-11
1.182030000000000030e+02 2.258906250000000000e+03 9.538372695849783867e-12 2.032773775695329022e-11 2.094118628503949253e-11
