Start time (s) =
1547808732
'Reltime', '44.00[A]'
4.376599999999999824e+01 2.148577149529984354e-11
4.389099999999999824e+01 2.079937264087838855e-11
4.403199999999999648e+01 2.235807372574782903e-11
4.415699999999999648e+01 2.233304687015991163e-11
4.428199999999999648e+01 2.115329612861760467e-11
4.442199999999999704e+01 2.100314887287790810e-11
4.454699999999999704e+01 2.061347446902228597e-11
4.467199999999999704e+01 2.074574539934204154e-11
4.481300000000000239e+01 2.073144433900608874e-11
4.495400000000000063e+01 2.017374461926735307e-11
4.507900000000000063e+01 2.101744819849038493e-11
4.520400000000000063e+01 2.015587002857088805e-11
4.532900000000000063e+01 2.074574713406551751e-11
4.546900000000000119e+01 2.039539717668681362e-11
4.559400000000000119e+01 2.094237457062053664e-11
4.571900000000000119e+01 2.064206965080028766e-11
4.585999999999999943e+01 2.147862269985534311e-11
4.600000000000000000e+01 2.239740164167169922e-11
4.612500000000000000e+01 2.124982308171485812e-11
4.625000000000000000e+01 2.080652143632288897e-11
4.639099999999999824e+01 2.108894656127624501e-11
4.651599999999999824e+01 2.058844761343436858e-11
4.664099999999999824e+01 2.091734944975609523e-11
4.678199999999999648e+01 2.096739622203802611e-11
4.690699999999999648e+01 2.185042251301450023e-11
4.703199999999999648e+01 2.123552202137890532e-11
4.717199999999999704e+01 2.138567101184207786e-11
4.729699999999999704e+01 2.050979525103358014e-11
4.742199999999999704e+01 2.162519815995800343e-11
4.756300000000000239e+01 2.154297226719670277e-11
4.768800000000000239e+01 2.064922191569174004e-11
4.781300000000000239e+01 2.156084685789316779e-11
4.795400000000000063e+01 2.200415023800861292e-11
4.807900000000000063e+01 2.176104955953217512e-11
4.821900000000000119e+01 2.008079640070103977e-11
4.835999999999999943e+01 2.077792105037445936e-11
4.848499999999999943e+01 2.007721940089357560e-11
4.860999999999999943e+01 2.054197090206599796e-11
4.875000000000000000e+01 2.084227061771581901e-11
4.887500000000000000e+01 2.226512377245803975e-11
4.900000000000000000e+01 2.129987158872026498e-11
4.914099999999999824e+01 2.166094734135093347e-11
4.926599999999999824e+01 2.163234869012597983e-11
4.939099999999999824e+01 2.098884781254195531e-11
4.953199999999999648e+01 2.173602096922078175e-11
4.967199999999999704e+01 2.162877169031851565e-11
4.979699999999999704e+01 2.226155024209752753e-11
4.992199999999999704e+01 2.184327371756999980e-11
5.006300000000000239e+01 2.142857419284993625e-11
5.018800000000000239e+01 2.087802153383222503e-11
5.031300000000000239e+01 2.117832471892899804e-11
5.043800000000000239e+01 2.235092319557985263e-11
5.057900000000000063e+01 2.214357169849634488e-11
5.070400000000000063e+01 2.117832124948204608e-11
5.082900000000000063e+01 2.126412414205081092e-11
5.096900000000000119e+01 2.103531931973989799e-11
5.110999999999999943e+01 2.073859660389754112e-11
5.123499999999999943e+01 2.198984744294918414e-11
5.135999999999999943e+01 2.068854809689213425e-11
5.150000000000000000e+01 2.126769593768784716e-11
5.164099999999999824e+01 2.142499892776594805e-11
5.176599999999999824e+01 2.091019718486464285e-11
5.189099999999999824e+01 2.248677286043054835e-11
5.203199999999999648e+01 2.141426966306703150e-11
5.215699999999999648e+01 2.089589785925216603e-11
5.228199999999999648e+01 2.127842346766328774e-11
5.242199999999999704e+01 2.153224820666821415e-11
5.254699999999999704e+01 2.160732183453806243e-11
5.267199999999999704e+01 2.116045012823253302e-11
5.279699999999999704e+01 2.159302250892558561e-11
