Start time (s) =
1547806285
'Reltime', 'DEFAU[mV]', '44.00[A]', '28.00[A]'
1.139530000000000030e+02 2.911250000000000000e+03 2.491141321003809139e-11 4.536744938055115028e-11
1.146250000000000000e+02 2.924218750000000000e+03 2.484939511104844456e-11 4.629291394664392101e-11
1.152650000000000006e+02 2.934843750000000000e+03 2.532839563085254042e-11 4.586365315306650814e-11
1.159219999999999970e+02 2.942968750000000000e+03 2.477753766050305728e-11 4.551237858807510861e-11
1.165780000000000030e+02 2.953750000000000000e+03 2.436362916968803916e-11 4.618730051197950104e-11
1.172339999999999947e+02 2.964531250000000000e+03 2.475543034452520885e-11 4.594718355788174335e-11
1.178750000000000000e+02 2.972812500000000000e+03 2.498879055068403687e-11 4.596436772863476961e-11
1.185310000000000059e+02 2.987656250000000000e+03 2.513433905448891892e-11 4.629599828498420777e-11
1.191719999999999970e+02 3.005000000000000000e+03 2.475481104824428513e-11 4.636047448713931374e-11
1.198280000000000030e+02 3.014843750000000000e+03 2.481560963663032027e-11 4.609579037917477251e-11
1.204839999999999947e+02 3.021875000000000000e+03 2.489851554099420383e-11 4.645381648793467377e-11
1.211250000000000000e+02 3.031250000000000000e+03 2.494211608083940490e-11 4.645997475627439144e-11
1.217810000000000059e+02 3.040625000000000000e+03 2.528786728628329428e-11 4.624132673991532272e-11
1.224219999999999970e+02 3.051250000000000000e+03 2.501028550927486549e-11 4.599262637405843179e-11
1.230780000000000030e+02 3.060156250000000000e+03 2.501212431615940091e-11 4.565976416404105009e-11
1.237339999999999947e+02 3.071093750000000000e+03 2.468199949978711061e-11 4.630704153463227613e-11
1.243750000000000000e+02 3.077343750000000000e+03 2.522522468684229580e-11 4.605158615555993151e-11
1.250310000000000059e+02 3.082812500000000000e+03 2.500537624183785113e-11 4.632176933694331922e-11
1.256719999999999970e+02 3.121093750000000000e+03 2.491694350847950545e-11 4.558239549701248450e-11
1.263280000000000030e+02 3.127187500000000000e+03 2.437897626828000597e-11 4.579303949925339623e-11
1.269689999999999941e+02 3.131250000000000000e+03 2.510670144006965643e-11 4.604111883410588746e-11
1.276250000000000000e+02 3.139375000000000000e+03 2.544190552677960682e-11 4.646118906270757520e-11
1.282810000000000059e+02 3.147187500000000000e+03 2.451408694092993557e-11 4.657539978691893623e-11
1.289219999999999970e+02 3.157031250000000000e+03 2.531918251447162760e-11 4.649311144411250041e-11
1.295780000000000030e+02 3.171562500000000000e+03 2.533146088723459144e-11 4.636661193879731968e-11
1.302189999999999941e+02 3.181250000000000000e+03 2.525286230126155829e-11 4.608165238284556153e-11
1.308750000000000000e+02 3.194687500000000000e+03 2.527067097246593619e-11 4.657662797113992781e-11
1.315310000000000059e+02 3.205781250000000000e+03 2.479044053371737277e-11 4.601841477325230301e-11
1.321719999999999970e+02 3.214843750000000000e+03 2.497467510576001359e-11 4.641206169386791203e-11
1.328280000000000030e+02 3.231093750000000000e+03 2.499023384061604958e-11 4.618852175730658871e-11
1.334840000000000089e+02 3.235312500000000000e+03 2.546902272415607626e-11 4.645505854994347317e-11
1.341399999999999864e+02 3.245312500000000000e+03 2.516442956790321261e-11 4.619958235418941683e-11
1.347810000000000059e+02 3.253750000000000000e+03 2.532900625351608426e-11 4.552895213616459102e-11
1.354370000000000118e+02 3.270000000000000000e+03 2.524610555332262862e-11 4.674306774976599854e-11
1.360780000000000030e+02 3.278125000000000000e+03 2.485184454059652381e-11 4.629845118397923898e-11
1.367340000000000089e+02 3.287812500000000000e+03 2.499616486018041428e-11 4.682904411468236106e-11
1.373899999999999864e+02 3.302968750000000000e+03 2.525715574186460088e-11 4.656865171259738645e-11
1.380310000000000059e+02 3.315625000000000000e+03 2.526883043085792480e-11 4.600184122516282059e-11
1.386870000000000118e+02 3.323750000000000000e+03 2.506616789132998235e-11 4.665094352485077422e-11
1.393439999999999941e+02 3.333281250000000000e+03 2.511714621011851278e-11 4.682719836890392173e-11
1.400000000000000000e+02 3.340625000000000000e+03 2.523689070221823982e-11 4.655393084918024726e-11
1.406399999999999864e+02 3.346406250000000000e+03 2.578652569251715931e-11 4.679649029393218029e-11
1.412969999999999970e+02 3.367656250000000000e+03 2.537138728275767363e-11 4.674551717931407779e-11
1.419689999999999941e+02 3.377656250000000000e+03 2.572757111518608752e-11 4.684684237754588310e-11
1.426090000000000089e+02 3.389218750000000000e+03 2.556053285696080479e-11 4.684132595689227685e-11
1.432649999999999864e+02 3.397812500000000000e+03 2.507599683454486694e-11 4.638195730266581052e-11
1.439219999999999970e+02 3.407031250000000000e+03 2.518960560971006402e-11 4.697519803698035901e-11
